event_id,conversation_id,timestamp,event_type,state_before,state_after,source,payload
evt_02046,conv_0211,2026-06-01 09:48:00,conversation_started,none,idle,system,"{""channel"":""WhatsApp""}"
evt_02047,conv_0211,2026-06-01 09:49:00,message_received,idle,message_received,bot,"{""message_id"":""msg_01037""}"
evt_02048,conv_0211,2026-06-01 09:50:00,intent_detected,message_received,intent_detected,llm,"{""intent"":""general_question"",""confidence"":0.86}"
evt_02049,conv_0211,2026-06-01 09:51:00,scenario_selected,intent_detected,scenario_active,fsm,"{""scenario"":""general_question""}"
evt_02050,conv_0211,2026-06-01 09:55:00,answer_sent,scenario_active,answered,bot,"{""answer_type"":""general""}"
evt_02051,conv_0211,2026-06-01 09:56:00,conversation_closed,answered,conversation_closed,fsm,"{""reason"":""answered""}"
evt_02274,conv_0235,2026-06-01 12:46:00,conversation_started,none,idle,system,"{""channel"":""WhatsApp""}"
evt_02275,conv_0235,2026-06-01 12:47:00,message_received,idle,message_received,bot,"{""message_id"":""msg_01154""}"
evt_02276,conv_0235,2026-06-01 12:48:00,intent_detected,message_received,intent_detected,llm,"{""intent"":""cancel_or_reschedule"",""confidence"":0.83}"
evt_02277,conv_0235,2026-06-01 12:49:00,scenario_selected,intent_detected,scenario_active,fsm,"{""scenario"":""cancel_or_reschedule""}"
evt_02278,conv_0235,2026-06-01 12:51:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""phone"",""value"":""+7 999 335-65-85""}"
evt_02279,conv_0235,2026-06-01 12:52:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""booking_reference"",""value"":""BK-2235""}"
evt_02280,conv_0235,2026-06-01 12:53:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""cancel_or_reschedule_action"",""value"":""reschedule""}"
evt_02281,conv_0235,2026-06-01 13:00:00,handoff_ready,collecting_fields,handoff_ready,fsm,"{""request_id"":""req_0235""}"
evt_02282,conv_0235,2026-06-01 13:01:00,handoff_sent,handoff_ready,handoff_sent,fsm,"{""request_id"":""req_0235""}"
evt_02283,conv_0235,2026-06-01 13:06:00,request_closed,handoff_sent,request_closed,fsm,"{""request_id"":""req_0235""}"
evt_00641,conv_0064,2026-06-01 13:40:00,conversation_started,none,idle,system,"{""channel"":""Avito""}"
evt_00642,conv_0064,2026-06-01 13:41:00,message_received,idle,message_received,bot,"{""message_id"":""msg_00316""}"
evt_00643,conv_0064,2026-06-01 13:42:00,intent_detected,message_received,intent_detected,llm,"{""intent"":""new_service_request"",""confidence"":0.89}"
evt_00644,conv_0064,2026-06-01 13:43:00,scenario_selected,intent_detected,scenario_active,fsm,"{""scenario"":""new_service_request""}"
evt_00645,conv_0064,2026-06-01 13:45:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""service"",""value"":""Paint correction""}"
evt_00646,conv_0064,2026-06-01 13:46:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""car"",""value"":""Honda Accord 8""}"
evt_00647,conv_0064,2026-06-01 13:47:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""phone"",""value"":""+7 999 164-74-22""}"
evt_00648,conv_0064,2026-06-01 13:54:00,handoff_ready,collecting_fields,handoff_ready,fsm,"{""request_id"":""req_0064""}"
evt_00649,conv_0064,2026-06-01 13:55:00,handoff_sent,handoff_ready,handoff_sent,fsm,"{""request_id"":""req_0064""}"
evt_00650,conv_0064,2026-06-01 14:00:00,request_closed,handoff_sent,request_closed,fsm,"{""request_id"":""req_0064""}"
evt_00084,conv_0009,2026-06-01 14:39:00,conversation_started,none,idle,system,"{""channel"":""Avito""}"
evt_00085,conv_0009,2026-06-01 14:40:00,message_received,idle,message_received,bot,"{""message_id"":""msg_00044""}"
evt_00086,conv_0009,2026-06-01 14:41:00,intent_detected,message_received,intent_detected,llm,"{""intent"":""new_service_request"",""confidence"":0.84}"
evt_00087,conv_0009,2026-06-01 14:42:00,scenario_selected,intent_detected,scenario_active,fsm,"{""scenario"":""new_service_request""}"
evt_00088,conv_0009,2026-06-01 14:44:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""service"",""value"":""Detailing wash""}"
evt_00089,conv_0009,2026-06-01 14:45:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""car"",""value"":""Volkswagen Tiguan""}"
evt_00090,conv_0009,2026-06-01 14:46:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""phone"",""value"":""+7 999 109-19-37""}"
evt_00091,conv_0009,2026-06-01 14:53:00,handoff_ready,collecting_fields,handoff_ready,fsm,"{""request_id"":""req_0009""}"
evt_00092,conv_0009,2026-06-01 14:54:00,handoff_sent,handoff_ready,handoff_sent,fsm,"{""request_id"":""req_0009""}"
evt_00093,conv_0009,2026-06-01 14:59:00,request_closed,handoff_sent,request_closed,fsm,"{""request_id"":""req_0009""}"
evt_01659,conv_0161,2026-06-01 15:32:00,conversation_started,none,idle,system,"{""channel"":""Avito""}"
evt_01660,conv_0161,2026-06-01 15:33:00,message_received,idle,message_received,bot,"{""message_id"":""msg_00793""}"
evt_01661,conv_0161,2026-06-01 15:34:00,intent_detected,message_received,intent_detected,llm,"{""intent"":""price_consultation"",""confidence"":0.9}"
evt_01662,conv_0161,2026-06-01 15:35:00,scenario_selected,intent_detected,scenario_active,fsm,"{""scenario"":""price_consultation""}"
evt_01663,conv_0161,2026-06-01 15:37:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""service"",""value"":""Window tinting""}"
evt_01664,conv_0161,2026-06-01 15:38:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""car"",""value"":""Kia K5""}"
evt_01665,conv_0161,2026-06-01 15:39:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""phone"",""value"":""+7 999 261-81-43""}"
evt_01666,conv_0161,2026-06-01 15:43:00,fallback_triggered,scenario_active,fallback,bot,"{""count"":1}"
evt_01667,conv_0161,2026-06-01 15:44:00,fallback_triggered,scenario_active,fallback,bot,"{""count"":2}"
evt_01668,conv_0161,2026-06-01 15:45:00,fallback_triggered,scenario_active,fallback,bot,"{""count"":3}"
evt_01669,conv_0161,2026-06-01 15:45:00,price_orientation_given,collecting_fields,price_answered,bot,"{""service"":""Window tinting""}"
evt_01670,conv_0161,2026-06-01 15:46:00,handoff_ready,collecting_fields,handoff_ready,fsm,"{""request_id"":""req_0161""}"
evt_01671,conv_0161,2026-06-01 15:47:00,handoff_sent,handoff_ready,handoff_sent,fsm,"{""request_id"":""req_0161""}"
evt_01672,conv_0161,2026-06-01 15:52:00,request_closed,handoff_sent,request_closed,fsm,"{""request_id"":""req_0161""}"
evt_00801,conv_0080,2026-06-01 17:29:00,conversation_started,none,idle,system,"{""channel"":""WhatsApp""}"
evt_00802,conv_0080,2026-06-01 17:30:00,message_received,idle,message_received,bot,"{""message_id"":""msg_00389""}"
evt_00803,conv_0080,2026-06-01 17:31:00,intent_detected,message_received,intent_detected,llm,"{""intent"":""new_service_request"",""confidence"":0.87}"
evt_00804,conv_0080,2026-06-01 17:32:00,scenario_selected,intent_detected,scenario_active,fsm,"{""scenario"":""new_service_request""}"
evt_00805,conv_0080,2026-06-01 17:34:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""service"",""value"":""Chrome delete""}"
evt_00806,conv_0080,2026-06-01 17:35:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""car"",""value"":""Kia K5""}"
evt_00807,conv_0080,2026-06-01 17:36:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""phone"",""value"":""+7 999 180-90-70""}"
evt_00808,conv_0080,2026-06-01 17:43:00,handoff_ready,collecting_fields,handoff_ready,fsm,"{""request_id"":""req_0080""}"
evt_00809,conv_0080,2026-06-01 17:44:00,handoff_sent,handoff_ready,handoff_sent,fsm,"{""request_id"":""req_0080""}"
evt_00810,conv_0080,2026-06-01 17:49:00,request_closed,handoff_sent,request_closed,fsm,"{""request_id"":""req_0080""}"
evt_00580,conv_0058,2026-06-01 18:18:00,conversation_started,none,idle,system,"{""channel"":""WhatsApp""}"
evt_00581,conv_0058,2026-06-01 18:19:00,message_received,idle,message_received,bot,"{""message_id"":""msg_00288""}"
evt_00582,conv_0058,2026-06-01 18:20:00,intent_detected,message_received,intent_detected,llm,"{""intent"":""new_service_request"",""confidence"":0.95}"
evt_00583,conv_0058,2026-06-01 18:21:00,scenario_selected,intent_detected,scenario_active,fsm,"{""scenario"":""new_service_request""}"
evt_00584,conv_0058,2026-06-01 18:23:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""service"",""value"":""Paint correction""}"
evt_00585,conv_0058,2026-06-01 18:24:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""car"",""value"":""Geely Monjaro""}"
evt_00586,conv_0058,2026-06-01 18:25:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""phone"",""value"":""+7 999 158-68-94""}"
evt_00587,conv_0058,2026-06-01 18:32:00,handoff_ready,collecting_fields,handoff_ready,fsm,"{""request_id"":""req_0058""}"
evt_00588,conv_0058,2026-06-01 18:33:00,handoff_sent,handoff_ready,handoff_sent,fsm,"{""request_id"":""req_0058""}"
evt_00589,conv_0058,2026-06-01 18:38:00,request_closed,handoff_sent,request_closed,fsm,"{""request_id"":""req_0058""}"
evt_02284,conv_0236,2026-06-01 19:59:00,conversation_started,none,idle,system,"{""channel"":""Website""}"
evt_02285,conv_0236,2026-06-01 20:00:00,message_received,idle,message_received,bot,"{""message_id"":""msg_01160""}"
evt_02286,conv_0236,2026-06-01 20:01:00,intent_detected,message_received,intent_detected,llm,"{""intent"":""cancel_or_reschedule"",""confidence"":0.9}"
evt_02287,conv_0236,2026-06-01 20:02:00,scenario_selected,intent_detected,scenario_active,fsm,"{""scenario"":""cancel_or_reschedule""}"
evt_02288,conv_0236,2026-06-01 20:04:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""phone"",""value"":""+7 999 336-66-88""}"
evt_02289,conv_0236,2026-06-01 20:05:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""booking_reference"",""value"":""BK-2236""}"
evt_02290,conv_0236,2026-06-01 20:06:00,field_collected,scenario_active,collecting_fields,fsm,"{""field"":""cancel_or_reschedule_action"",""value"":""reschedule""}"
evt_02291,conv_0236,2026-06-01 20:13:00,handoff_ready,collecting_fields,handoff_ready,fsm,"{""request_id"":""req_0236""}"
evt_02292,conv_0236,2026-06-01 20:14:00,handoff_sent,handoff_ready,handoff_sent,fsm,"{""request_id"":""req_0236""}"
evt_02293,conv_0236,2026-06-01 20:19:00,request_closed,handoff_sent,request_closed,fsm,"{""request_id"":""req_0236""}"
