request_id,conversation_id,service,status,current_step,required_fields,collected_fields,missing_fields,handoff_ready,handoff_sent,manager_summary
req_0001,conv_0001,Detailing wash,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Detailing wash, авто: Lexus RX, телефон: +7 999 101-11-13"
req_0002,conv_0002,Chrome delete,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Chrome delete, авто: Toyota Camry, телефон: +7 999 102-12-16"
req_0003,conv_0003,Ceramic coating,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Ceramic coating, авто: Volkswagen Tiguan, телефон: +7 999 103-13-19"
req_0004,conv_0004,Detailing wash,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Detailing wash, авто: Toyota Camry, телефон: +7 999 104-14-22"
req_0005,conv_0005,Interior dry cleaning,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Interior dry cleaning, авто: Toyota Camry, телефон: +7 999 105-15-25"
req_0006,conv_0006,PPF elements,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: PPF elements, авто: Audi A6, телефон: +7 999 106-16-28"
req_0007,conv_0007,Chrome delete,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Chrome delete, авто: Kia K5, телефон: +7 999 107-17-31"
req_0008,conv_0008,Detailing wash,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Detailing wash, авто: Mercedes-Benz E-Class, телефон: +7 999 108-18-34"
req_0009,conv_0009,Detailing wash,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Detailing wash, авто: Volkswagen Tiguan, телефон: +7 999 109-19-37"
req_0010,conv_0010,Window tinting,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Window tinting, авто: Range Rover Sport, телефон: +7 999 110-20-40"
req_0011,conv_0011,Ceramic coating,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Ceramic coating, авто: Tesla Model 3, телефон: +7 999 111-21-43"
req_0012,conv_0012,Detailing wash,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Detailing wash, авто: Porsche Macan, телефон: +7 999 112-22-46"
req_0013,conv_0013,Detailing wash,request_closed,request_closed,service;car;phone,phone;service,car,yes,yes,"Заявка: Detailing wash, авто: BMW X5, телефон: +7 999 113-23-49"
req_0014,conv_0014,Window tinting,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Window tinting, авто: Range Rover Sport, телефон: +7 999 114-24-52"
req_0015,conv_0015,Ceramic coating,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Ceramic coating, авто: Mazda CX-5, телефон: +7 999 115-25-55"
req_0016,conv_0016,Paint correction,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Paint correction, авто: Lexus RX, телефон: +7 999 116-26-58"
req_0017,conv_0017,Detailing wash,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Detailing wash, авто: Porsche Macan, телефон: +7 999 117-27-61"
req_0018,conv_0018,Chrome delete,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Chrome delete, авто: Tesla Model 3, телефон: +7 999 118-28-64"
req_0019,conv_0019,Chrome delete,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Chrome delete, авто: Mercedes-Benz E-Class, телефон: +7 999 119-29-67"
req_0020,conv_0020,Detailing wash,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Detailing wash, авто: Geely Monjaro, телефон: +7 999 120-30-70"
req_0021,conv_0021,Paint correction,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Paint correction, авто: Mercedes-Benz E-Class, телефон: +7 999 121-31-73"
req_0022,conv_0022,Interior dry cleaning,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Interior dry cleaning, авто: Mercedes-Benz E-Class, телефон: +7 999 122-32-76"
req_0023,conv_0023,Ceramic coating,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Ceramic coating, авто: Kia K5, телефон: +7 999 123-33-79"
req_0024,conv_0024,Ceramic coating,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Ceramic coating, авто: Audi A6, телефон: +7 999 124-34-82"
req_0025,conv_0025,Interior dry cleaning,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Interior dry cleaning, авто: Lexus RX, телефон: +7 999 125-35-85"
req_0026,conv_0026,Paint correction,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Paint correction, авто: Toyota Camry, телефон: +7 999 126-36-88"
req_0027,conv_0027,Paint correction,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Paint correction, авто: Porsche Macan, телефон: +7 999 127-37-91"
req_0028,conv_0028,Detailing wash,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Detailing wash, авто: Lexus RX, телефон: +7 999 128-38-94"
req_0029,conv_0029,Ceramic coating,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Ceramic coating, авто: Kia K5, телефон: +7 999 129-39-97"
req_0030,conv_0030,PPF elements,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: PPF elements, авто: Honda Accord 8, телефон: +7 999 130-40-10"
req_0031,conv_0031,Ceramic coating,request_closed,request_closed,service;car;phone,car;phone;service,,yes,yes,"Заявка: Ceramic coating, авто: Porsche Macan, телефон: +7 999 131-41-13"
